incident_id,start_timestamp,end_timestamp,node_id,incident_type,severity,time_to_detect_sec,duration_sec,samples,max_score
INC_1775167831_low_throug,2026-04-02T23:10:31.597155,2026-04-02T23:46:48.508495,N1,low_throughput,critical,30,2176,10,0.981
INC_1775167876_weak_signa,2026-04-02T23:11:16.624327,2026-04-03T00:47:33.932190,N1,weak_signal,critical,30,5777,134,1.0
INC_1775169093_high_laten,2026-04-02T23:31:33.981497,2026-04-02T23:44:43.168355,N1,high_latency,critical,30,789,9,1.0
INC_1775170706_latency_de,2026-04-02T23:58:26.775611,2026-04-03T00:23:41.661510,N1,latency_degradation,medium,30,1514,2,0.567
INC_1775170741_statistica,2026-04-02T23:59:01.953897,2026-04-03T00:21:56.489487,N1,statistical_outlier,critical,30,1374,4,0.91
INC_1775239674_low_throug,2026-04-03T19:07:54.063222,2026-04-03T19:07:54.063222,N1,low_throughput,critical,30,0,1,0.94
INC_1775239719_weak_signa,2026-04-03T19:08:39.529537,2026-04-03T19:30:46.600606,N1,weak_signal,critical,30,1327,38,1.0
INC_1775241125_weak_signa,2026-04-03T19:32:05.153478,2026-04-03T19:50:25.866514,N1,weak_signal,critical,30,1100,20,0.9
INC_1775241159_statistica,2026-04-03T19:32:39.968065,2026-04-03T19:32:39.968065,N1,statistical_outlier,critical,30,0,1,0.832
INC_1775241195_jitter_deg,2026-04-03T19:33:15.332377,2026-04-03T19:44:59.070569,N1,jitter_degradation,low,30,703,3,0.243
INC_1775241300_latency_de,2026-04-03T19:35:00.114426,2026-04-03T19:51:36.222182,N1,latency_degradation,high,30,996,5,0.6
INC_1775241793_low_throug,2026-04-03T19:43:13.267557,2026-04-03T19:43:13.267557,N1,low_throughput,low,30,0,1,0.214
INC_1775241828_high_laten,2026-04-03T19:43:48.607791,2026-04-03T19:46:10.147082,N1,high_latency,critical,30,141,4,1.0
