incident_id,start_timestamp,end_timestamp,node_id,incident_type,severity,time_to_detect_sec,duration_sec,samples,max_score
INC_1778350703_severe_pac,2026-05-09T19:18:23.988101,2026-05-09T19:18:23.988101,N1,severe_packet_loss,critical,30,0,1,1.0
INC_1778350781_high_retra,2026-05-09T19:19:41.663368,2026-05-09T19:19:41.663368,N1,high_retransmission,critical,30,0,1,1.0
INC_1778350826_congestion,2026-05-09T19:20:26.576969,2026-05-09T19:20:26.576969,N1,congestion,critical,30,0,1,1.0
INC_1778350871_latency_de,2026-05-09T19:21:11.364401,2026-05-09T19:21:11.364401,N1,latency_degradation,low,30,0,1,0.036
INC_1778350960_congestion,2026-05-09T19:22:40.355921,2026-05-09T19:26:08.888332,N1,congestion,critical,30,208,4,1.0
INC_1778351050_severe_pac,2026-05-09T19:24:10.961217,2026-05-09T19:24:10.961217,N1,severe_packet_loss,critical,30,0,1,1.0
INC_1778351214_latency_de,2026-05-09T19:26:54.055198,2026-05-09T19:26:54.055198,N1,latency_degradation,low,30,0,1,0.069
INC_1778351347_low_throug,2026-05-09T19:29:07.230498,2026-05-09T19:29:07.230498,N1,low_throughput,critical,30,0,1,0.98
INC_1778351394_jitter_deg,2026-05-09T19:29:54.503934,2026-05-09T19:32:53.723747,N1,jitter_degradation,medium,30,179,2,0.432
INC_1778351439_local_reso,2026-05-09T19:30:39.310880,2026-05-09T19:30:39.310880,N1,local_resource_constraint,critical,30,0,1,0.939
INC_1778351484_latency_de,2026-05-09T19:31:24.311706,2026-05-09T19:31:24.311706,N1,latency_degradation,low,30,0,1,0.033
INC_1778351529_congestion,2026-05-09T19:32:09.116455,2026-05-09T19:32:09.116455,N1,congestion,critical,30,0,1,1.0
INC_1778351707_congestion,2026-05-09T19:35:07.989822,2026-05-09T19:35:07.989822,N1,congestion,critical,30,0,1,1.0
INC_1778351841_local_reso,2026-05-09T19:37:21.919165,2026-05-09T19:37:21.919165,N1,local_resource_constraint,critical,30,0,1,0.98
INC_1778351932_severe_pac,2026-05-09T19:38:52.457508,2026-05-09T19:38:52.457508,N1,severe_packet_loss,critical,30,0,1,1.0
INC_1778354558_congestion,2026-05-09T20:22:38.901686,2026-05-09T20:26:25.714010,N1,congestion,critical,30,226,6,1.0
INC_1778355017_jitter_deg,2026-05-09T20:30:17.015479,2026-05-09T20:30:17.015479,N1,jitter_degradation,low,30,0,1,0.013
INC_1778355061_low_throug,2026-05-09T20:31:01.179448,2026-05-09T20:31:45.929391,N1,low_throughput,critical,30,44,2,0.98
INC_1778355194_low_throug,2026-05-09T20:33:14.461831,2026-05-09T20:33:59.177100,N1,low_throughput,critical,30,44,2,0.98
INC_1778355283_jitter_deg,2026-05-09T20:34:43.270440,2026-05-09T20:34:43.270440,N1,jitter_degradation,low,30,0,1,0.283
INC_1778355371_low_throug,2026-05-09T20:36:11.701115,2026-05-09T20:39:17.135020,N1,low_throughput,critical,30,185,5,0.98
INC_1778355601_jitter_deg,2026-05-09T20:40:01.294296,2026-05-09T20:40:01.294296,N1,jitter_degradation,low,30,0,1,0.277
INC_1778355689_local_reso,2026-05-09T20:41:29.661607,2026-05-09T20:41:29.661607,N1,local_resource_constraint,critical,30,0,1,0.884
