policy,rc_flip_prob,rep,mean_reward,mean_regret,llm_coverage
RuleLookup,0.0,0,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,0,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,0,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,0,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,0,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,1,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,1,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,1,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,1,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,1,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,2,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,2,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,2,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,2,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,2,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,3,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,3,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,3,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,3,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,3,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,4,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,4,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,4,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,4,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,4,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,5,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,5,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,5,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,5,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,5,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,6,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,6,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,6,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,6,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,6,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,7,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,7,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,7,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,7,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,7,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,8,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,8,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,8,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,8,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,8,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,9,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,9,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,9,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,9,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,9,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,10,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,10,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,10,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,10,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,10,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,11,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,11,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,11,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,11,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,11,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,12,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,12,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,12,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,12,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,12,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,13,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,13,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,13,0.5088288288288288,0.1596396396396396,0.0
