incident_id,start_timestamp,end_timestamp,node_id,incident_type,severity,time_to_detect_sec,duration_sec,samples,max_score
INC_1775315002_low_throug,2026-04-04T16:03:22.055369,2026-04-04T16:03:22.055369,N1,low_throughput,critical,30,0,1,0.92
INC_1775315047_weak_signa,2026-04-04T16:04:07.389158,2026-04-04T16:07:03.565237,N1,weak_signal,low,30,176,6,0.2
INC_1775315328_weak_signa,2026-04-04T16:08:48.832562,2026-04-04T16:08:48.832562,N1,weak_signal,low,30,0,1,0.1
INC_1775315434_weak_signa,2026-04-04T16:10:34.644825,2026-04-04T16:10:34.644825,N1,weak_signal,low,30,0,1,0.1
INC_1775315539_weak_signa,2026-04-04T16:12:19.916060,2026-04-04T16:17:36.143464,N1,weak_signal,medium,30,316,10,0.5
INC_1775315891_jitter_deg,2026-04-04T16:18:11.388993,2026-04-04T16:18:11.388993,N1,jitter_degradation,low,30,0,1,0.163
INC_1775315961_weak_signa,2026-04-04T16:19:21.967418,2026-04-04T16:20:32.424692,N1,weak_signal,low,30,70,3,0.1
INC_1775316067_jitter_deg,2026-04-04T16:21:07.656619,2026-04-04T16:21:07.656619,N1,jitter_degradation,low,30,0,1,0.069
INC_1775316102_high_retra,2026-04-04T16:21:42.930300,2026-04-04T16:21:42.930300,N1,high_retransmission,low,30,0,1,0.311
INC_1775316137_statistica,2026-04-04T16:22:17.686595,2026-04-04T16:22:17.686595,N1,statistical_outlier,high,30,0,1,0.678
INC_1775316172_latency_de,2026-04-04T16:22:52.968578,2026-04-04T16:22:52.968578,N1,latency_degradation,low,30,0,1,0.069
INC_1775316208_high_jitte,2026-04-04T16:23:28.232664,2026-04-04T16:23:28.232664,N1,high_jitter,critical,30,0,1,0.858
INC_1775316278_weak_signa,2026-04-04T16:24:38.265315,2026-04-04T16:24:38.265315,N1,weak_signal,low,30,0,1,0.1
INC_1775316462_latency_de,2026-04-04T16:27:42.212455,2026-04-04T16:27:42.212455,N1,latency_degradation,low,30,0,1,0.394
INC_1775316497_weak_signa,2026-04-04T16:28:17.535704,2026-04-04T16:28:17.535704,N1,weak_signal,low,30,0,1,0.1
INC_1775316638_weak_signa,2026-04-04T16:30:38.191564,2026-04-04T16:31:56.541706,N1,weak_signal,low,30,78,3,0.1
INC_1775316787_weak_signa,2026-04-04T16:33:07.010598,2026-04-04T16:34:16.991047,N1,weak_signal,low,30,69,3,0.1
INC_1775316962_weak_signa,2026-04-04T16:36:02.769296,2026-04-04T16:38:58.754556,N1,weak_signal,low,30,175,6,0.1
INC_1775317216_weak_signa,2026-04-04T16:40:16.122923,2026-04-04T16:40:51.393608,N1,weak_signal,low,30,35,2,0.1
INC_1775317321_high_laten,2026-04-04T16:42:01.866829,2026-04-04T16:42:01.866829,N1,high_latency,medium,30,0,1,0.567
INC_1775317392_latency_de,2026-04-04T16:43:12.853059,2026-04-04T16:43:12.853059,N1,latency_degradation,low,30,0,1,0.096
INC_1775317428_weak_signa,2026-04-04T16:43:48.064525,2026-04-04T16:43:48.064525,N1,weak_signal,low,30,0,1,0.1
INC_1775317498_weak_signa,2026-04-04T16:44:58.608524,2026-04-04T16:46:09.119992,N1,weak_signal,low,30,70,3,0.1
INC_1775317604_latency_de,2026-04-04T16:46:44.370073,2026-04-04T16:46:44.370073,N1,latency_degradation,low,30,0,1,0.369
INC_1775317674_weak_signa,2026-04-04T16:47:54.871294,2026-04-04T16:49:40.616594,N1,weak_signal,low,30,105,3,0.1
INC_1775317745_latency_de,2026-04-04T16:49:05.374225,2026-04-04T16:49:05.374225,N1,latency_degradation,low,30,0,1,0.34
INC_1775317815_statistica,2026-04-04T16:50:15.884139,2026-04-04T16:50:15.884139,N1,statistical_outlier,high,30,0,1,0.785
INC_1775317886_latency_de,2026-04-04T16:51:26.521671,2026-04-04T16:51:26.521671,N1,latency_degradation,low,30,0,1,0.172
INC_1775317922_weak_signa,2026-04-04T16:52:02.308161,2026-04-04T16:55:32.755774,N1,weak_signal,low,30,210,7,0.2
INC_1775318202_latency_de,2026-04-04T16:56:42.660222,2026-04-04T16:59:03.738218,N1,latency_degradation,low,30,141,2,0.358
INC_1775318238_high_jitte,2026-04-04T16:57:18.470606,2026-04-04T16:57:18.470606,N1,high_jitter,medium,30,0,1,0.503
INC_1775318273_weak_signa,2026-04-04T16:57:53.728287,2026-04-04T16:58:29.017051,N1,weak_signal,low,30,35,2,0.1
INC_1775318449_high_jitte,2026-04-04T17:00:49.258733,2026-04-04T17:00:49.258733,N1,high_jitter,medium,30,0,1,0.536
INC_1775318484_weak_signa,2026-04-04T17:01:24.487923,2026-04-04T17:06:14.233883,N1,weak_signal,low,30,289,8,0.1
INC_1775318598_jitter_deg,2026-04-04T17:03:18.505921,2026-04-04T17:03:18.505921,N1,jitter_degradation,low,30,0,1,0.123
INC_1775318844_weak_signa,2026-04-04T17:07:24.695486,2026-04-04T17:09:45.711025,N1,weak_signal,low,30,141,5,0.1
INC_1775319337_high_retra,2026-04-04T17:15:37.323094,2026-04-04T17:15:37.323094,N1,high_retransmission,low,30,0,1,0.325
INC_1775319407_latency_de,2026-04-04T17:16:47.892971,2026-04-04T17:17:58.494852,N1,latency_degradation,low,30,70,3,0.172
INC_1775319549_jitter_deg,2026-04-04T17:19:09.122194,2026-04-04T17:19:09.122194,N1,jitter_degradation,low,30,0,1,0.368
INC_1775319619_weak_signa,2026-04-04T17:20:19.927164,2026-04-04T17:20:19.927164,N1,weak_signal,low,30,0,1,0.1
INC_1775319725_weak_signa,2026-04-04T17:22:05.198543,2026-04-04T17:23:50.920494,N1,weak_signal,low,30,105,4,0.1
INC_1775319971_latency_de,2026-04-04T17:26:11.863186,2026-04-04T17:26:47.102057,N1,latency_degradation,medium,30,35,2,0.561
INC_1775320077_weak_signa,2026-04-04T17:27:57.451305,2026-04-04T17:28:32.174451,N1,weak_signal,low,30,34,2,0.1
INC_1775320147_high_laten,2026-04-04T17:29:07.461977,2026-04-04T17:29:07.461977,N1,high_latency,critical,30,0,1,0.854
INC_1775320183_high_jitte,2026-04-04T17:29:43.180094,2026-04-04T17:29:43.180094,N1,high_jitter,high,30,0,1,0.723
INC_1775320253_latency_de,2026-04-04T17:30:53.696763,2026-04-04T17:30:53.696763,N1,latency_degradation,low,30,0,1,0.045
INC_1775320289_weak_signa,2026-04-04T17:31:29.403314,2026-04-04T17:31:29.403314,N1,weak_signal,low,30,0,1,0.1
INC_1775320535_weak_signa,2026-04-04T17:35:35.647203,2026-04-04T17:35:35.647203,N1,weak_signal,low,30,0,1,0.1
INC_1775320570_high_laten,2026-04-04T17:36:10.915604,2026-04-04T17:36:10.915604,N1,high_latency,high,30,0,1,0.642
INC_1775320746_weak_signa,2026-04-04T17:39:06.804190,2026-04-04T17:39:06.804190,N1,weak_signal,low,30,0,1,0.1
INC_1775320852_weak_signa,2026-04-04T17:40:52.495502,2026-04-04T17:40:52.495502,N1,weak_signal,low,30,0,1,0.1
INC_1775320887_latency_de,2026-04-04T17:41:27.728953,2026-04-04T17:41:27.728953,N1,latency_degradation,low,30,0,1,0.069
INC_1775320957_weak_signa,2026-04-04T17:42:37.734714,2026-04-04T17:44:59.180551,N1,weak_signal,low,30,141,4,0.1
INC_1775321063_latency_de,2026-04-04T17:44:23.510429,2026-04-04T17:44:23.510429,N1,latency_degradation,medium,30,0,1,0.46
INC_1775321204_weak_signa,2026-04-04T17:46:44.997403,2026-04-04T17:47:55.497935,N1,weak_signal,low,30,70,3,0.1
INC_1775321310_high_laten,2026-04-04T17:48:30.756878,2026-04-04T17:48:30.756878,N1,high_latency,medium,30,0,1,0.566
INC_1775321381_latency_de,2026-04-04T17:49:41.109525,2026-04-04T17:50:16.459719,N1,latency_degradation,low,30,35,2,0.322
INC_1775321451_jitter_deg,2026-04-04T17:50:51.781471,2026-04-04T17:50:51.781471,N1,jitter_degradation,low,30,0,1,0.192
INC_1775321522_high_jitte,2026-04-04T17:52:02.366376,2026-04-04T17:52:02.366376,N1,high_jitter,high,30,0,1,0.612
INC_1775321706_weak_signa,2026-04-04T17:55:06.396596,2026-04-04T17:56:52.093759,N1,weak_signal,low,30,105,4,0.1
INC_1775321988_weak_signa,2026-04-04T17:59:48.054085,2026-04-04T20:04:30.934888,N1,weak_signal,critical,30,7482,187,1.0
INC_1775322023_latency_de,2026-04-04T18:00:23.304080,2026-04-04T20:05:05.683525,N1,latency_degradation,low,30,7482,8,0.324
INC_1775322094_jitter_deg,2026-04-04T18:01:34.044324,2026-04-04T20:00:59.853568,N1,jitter_degradation,medium,30,7165,16,0.501
INC_1775323470_congestion,2026-04-04T18:24:30.400352,2026-04-04T18:24:30.400352,N1,congestion,critical,30,0,1,0.812
INC_1775325766_high_laten,2026-04-04T19:02:46.483471,2026-04-04T19:02:46.483471,N1,high_latency,critical,30,0,1,0.877
INC_1775328802_high_jitte,2026-04-04T19:53:22.293803,2026-04-04T19:53:22.293803,N1,high_jitter,medium,30,0,1,0.507
INC_1775329576_weak_signa,2026-04-04T20:06:16.218776,2026-04-04T21:32:33.200591,N1,weak_signal,critical,30,5176,118,1.0
INC_1775329611_high_retra,2026-04-04T20:06:51.462874,2026-04-04T20:06:51.462874,N1,high_retransmission,high,30,0,1,0.709
INC_1775329822_high_laten,2026-04-04T20:10:22.969064,2026-04-04T21:31:12.732629,N1,high_latency,critical,30,4849,6,1.0
INC_1775330245_latency_de,2026-04-04T20:17:25.271599,2026-04-04T21:25:35.272605,N1,latency_degradation,medium,30,4090,5,0.513
INC_1775330351_jitter_deg,2026-04-04T20:19:11.159199,2026-04-04T21:24:17.595525,N1,jitter_degradation,medium,30,3906,5,0.517
INC_1775332684_low_throug,2026-04-04T20:58:04.198454,2026-04-04T21:27:03.016322,N1,low_throughput,critical,30,1738,7,0.881
INC_1775334297_statistica,2026-04-04T21:24:57.649505,2026-04-04T21:24:57.649505,N1,statistical_outlier,high,30,0,1,0.645
