timestamp,zone_id,cell_id,node_id,device_type,latency_ms,jitter_ms,packet_loss_pct,throughput_mbps,bandwidth_util_pct,cpu_pct,memory_pct,active_connections,queue_length,traffic_type,traffic_confidence,detection_method,is_peak_hour,day_of_week,hour_of_day,rssi_dbm,signal_quality_pct,channel,band_ghz,handover_event,handover_count,neighbor_count,channel_util_pct,connected_stations,tcp_retransmit_rate,mos_estimate,wifi_signal_category,wifi_signal_score,cellular_signal_category,cellular_signal_score,signal_health_overall,signal_dominant_link,signal_health_score,rsrp_dbm,rsrq_db,sinr_db,cqi,pci,cell_id_router,network_type_router,earfcn,enodeb_id,mcs,bler_proxy_pct,bler_delta,bler_trend,bler_severity,ho_status,ho_success_rate_pct,cssr_proxy_pct,latency_rolling_mean,latency_rolling_std,latency_trend,latency_volatility,jitter_rolling_mean,jitter_rolling_std,jitter_increasing,throughput_rolling_mean,throughput_rolling_std,throughput_volatility,anomaly_rate_recent,signal_degradation_rate,data_completeness_pct,required_metrics_pct,router_metrics_pct,data_quality_issues,skip_for_training,data_quality_rating,baseline_phase,hour_anomaly_rate,incident_recovery_time,collection_completion_pct,teams_in_meeting,data_source,anomaly_flag,anomaly_type,anomaly_score
2026-04-04T16:03:22.055369,Z2,C1,N1,workstation,45.5,1.6666666666666667,0.0,0.04,0.2666666666666666,1.6,50.2,37,22.762,browsing,0.32,process,False,Saturday,16,-87,64,44,5GHz,False,0,1,0,3,3.581,4.4,very_poor,10,fair,60,fair,cellular,60,-98,-12,2.0,9,360,b20301,4G,6200,b203,20,3.58,0.0,stable,medium,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,none,False,excellent,True,100.0,-1.0,100.0,False,wifi+router,True,low_throughput,0.92
2026-04-04T16:04:07.389158,Z2,C1,N1,workstation,35.5,11.0,0.0,7.97247070667933,53.149804711195536,2.8,50.2,34,20.1417412120038,browsing,0.33,process,False,Saturday,16,-87,80,44,5GHz,False,0,1,0,3,0.125,4.39,very_poor,10,fair,60,fair,cellular,60,-98,-12,1.0,9,360,b20301,4G,6200,b203,26,0.12,-3.46,stable,none,none,0.0,100.0,40.5,5.0,-10.0,10.0,6.33,4.67,1,4.01,3.97,7.93,100.0,0.0,100.0,100.0,100.0,none,False,excellent,True,100.0,-1.0,100.0,False,wifi+router,True,weak_signal,0.1
2026-04-04T16:04:42.656767,Z2,C1,N1,workstation,35.25,3.6666666666666665,0.0,7.97247070667933,53.149804711195536,19.7,50.3,36,20.0167412120038,browsing,0.33,process,False,Saturday,16,-87,80,44,5GHz,False,0,3,0,3,1.093,4.4,very_poor,10,fair,60,fair,cellular,60,-99,-12,0.0,9,360,b20301,4G,6200,b203,26,1.09,0.97,stable,low,none,0.0,100.0,38.75,4.77,-10.25,10.25,5.44,4.01,1,5.33,3.74,7.93,100.0,0.0,93.3,100.0,80.0,none,False,excellent,True,100.0,-1.0,100.0,False,wifi+router,True,weak_signal,0.1
2026-04-04T16:05:17.866677,Z2,C1,N1,workstation,42.25,13.0,0.0,7.995516034336402,53.30344022890935,11.1,50.6,35,23.52365481030092,browsing,0.32,process,False,Saturday,16,-87,78,44,5GHz,False,0,3,0,3,0.718,4.39,very_poor,10,fair,60,fair,cellular,60,-99,-12,0.0,8,360,b20301,4G,6200,b203,26,0.72,-0.37,decreasing,low,none,0.0,100.0,39.62,4.4,-3.25,10.25,7.33,4.77,1,6.0,3.44,7.96,100.0,0.0,93.3,100.0,80.0,none,False,excellent,True,100.0,-1.0,100.0,False,wifi+router,True,weak_signal,0.1
2026-04-04T16:05:53.119367,Z2,C1,N1,workstation,46.25,21.0,0.0,7.995516034336402,53.30344022890935,12.3,51.5,37,25.52365481030092,browsing,0.33,process,False,Saturday,16,-89,81,44,5GHz,False,0,3,0,3,1.807,4.38,very_poor,10,fair,60,fair,cellular,60,-98,-11,2.0,9,360,b20301,4G,6200,b203,29,1.81,1.09,decreasing,low,none,0.0,100.0,40.95,4.75,0.75,11.0,10.07,6.94,1,6.4,3.18,7.96,100.0,-0.4,100.0,100.0,100.0,none,False,excellent,True,100.0,-1.0,100.0,False,wifi+router,True,weak_signal,0.2
2026-04-04T16:06:28.360889,Z2,C1,N1,workstation,92.25,36.0,0.0,8.076361772031705,53.8424118135447,2.0,50.4,37,48.54790853160951,browsing,0.34,process,False,Saturday,16,-87,81,44,5GHz,False,0,3,0,3,1.258,4.35,very_poor,10,fair,60,fair,cellular,60,-99,-13,0.0,9,360,b20301,4G,6200,b203,26,1.26,-0.55,decreasing,low,none,0.0,100.0,49.5,19.6,46.75,57.0,14.39,11.55,1,6.68,2.97,8.04,100.0,0.0,93.3,100.0,80.0,none,False,excellent,True,100.0,-1.0,100.0,False,wifi+router,True,weak_signal,0.1
2026-04-04T16:07:03.565237,Z2,C1,N1,workstation,39.0,10.333333333333334,0.0,8.076361772031705,53.8424118135447,2.0,50.5,36,21.92290853160951,browsing,0.33,process,False,Saturday,16,-87,80,44,5GHz,False,0,1,0,3,3.55,4.39,very_poor,10,fair,60,fair,cellular,60,-99,-12,3.0,9,360,b20301,4G,6200,b203,29,3.55,2.29,increasing,medium,none,0.0,100.0,48.0,18.52,-6.5,57.0,13.81,10.79,1,6.88,2.79,8.04,100.0,0.0,100.0,100.0,100.0,none,False,excellent,True,100.0,-1.0,100.0,False,wifi+router,True,weak_signal,0.1
2026-04-04T16:07:38.813651,Z2,C1,N1,workstation,52.0,9.333333333333334,0.0,7.678832675808132,51.19221783872088,1.6,50.4,35,28.30364980274244,browsing,0.33,process,False,Saturday,16,-85,80,44,5GHz,False,0,1,0,3,1.834,4.39,very_poor,10,fair,60,fair,cellular,60,-98,-13,3.0,9,360,b20301,4G,6200,b203,26,1.83,-1.72,increasing,low,none,0.0,100.0,48.5,17.37,6.5,57.0,13.25,10.2,1,6.98,2.62,8.04,87.5,0.25,100.0,100.0,100.0,none,False,excellent,True,87.5,-1.0,100.0,False,wifi+router,False,normal,0.0
2026-04-04T16:08:13.550989,Z2,C1,N1,workstation,91.25,61.0,0.0,7.678832675808132,51.19221783872088,3.1,50.6,34,47.92864980274244,browsing,0.32,process,False,Saturday,16,-85,80,44,5GHz,False,0,1,0,3,1.695,4.32,very_poor,10,fair,60,fair,cellular,60,-99,-14,3.0,8,360,b20301,4G,6200,b203,29,1.7,-0.13,increasing,low,none,0.0,100.0,53.25,21.18,45.75,57.0,18.56,17.82,1,7.05,2.48,8.04,77.8,0.22,100.0,100.0,100.0,none,False,excellent,True,77.8,-1.0,100.0,False,wifi+router,False,normal,0.0
2026-04-04T16:08:48.832562,Z2,C1,N1,workstation,58.75,19.33333333333333,0.0,4.813281484011361,32.0885432267424,2.0,50.5,33,30.81898444520341,browsing,0.32,process,False,Saturday,16,-87,80,44,5GHz,False,0,1,1,3,2.007,4.38,very_poor,10,fair,60,fair,cellular,60,-99,-12,3.0,11,360,b20301,4G,6200,b203,29,2.01,0.31,stable,medium,none,0.0,100.0,53.8,20.16,13.25,57.0,18.63,16.91,1,6.83,2.45,8.04,80.0,0.0,100.0,100.0,100.0,none,False,excellent,True,80.0,-1.0,100.0,False,wifi+router,True,weak_signal,0.1
